Age,Level of Education,Stream (if 12th pass),Degree (if graduate/diploma),Stream of Degree,Location of Applicant,Company Name (PMIS Partner),Position/Role Offered
24,Graduate,Science,B.Tech,Information Technology,"Kolkata, West Bengal",Reliance Industries Limited,Data Analyst Intern
22,Graduate,Commerce,B.Com,Pharmacy,"Hyderabad, Telangana",Reliance Industries Limited,Supply Chain Intern
23,Diploma,Science,Diploma,Civil Engineering,"Jaipur, Rajasthan",Reliance Industries Limited,Data Analyst Intern
22,Graduate,Science,Diploma,Electrical Engineering,"Kolkata, West Bengal",HDFC Bank,Customer Service Intern
24,12th Pass,Arts,,,"Noida, Uttar Pradesh",Mahindra & Mahindra,Automotive Engineering Intern
23,12th Pass,Arts,,,"Ranchi, Jharkhand",Mahindra & Mahindra,Supply Chain Intern
23,12th Pass,Vocational,,,"Surat, Gujarat",Mahindra & Mahindra,Supply Chain Intern
24,Graduate,Science,B.Pharm,Marketing,"Coimbatore, Tamil Nadu",HDFC Bank,Marketing Intern
23,Diploma,Science,ITI,Computer Science,"Jaipur, Rajasthan",Tata Consultancy Services (TCS),Cloud Engineering Intern
22,12th Pass,Science,,,"Bhubaneswar, Odisha",Tata Consultancy Services (TCS),Software Development Intern
22,Graduate,Science,B.Pharm,Electrical Engineering,"Lucknow, Uttar Pradesh",HDFC Bank,Marketing Intern
24,Graduate,Science,Diploma,Electrical Engineering,"Dehradun, Uttarakhand",Max Life Insurance,Data Analytics Intern
23,Diploma,Science,Diploma,Civil Engineering,"Jaipur, Rajasthan",Reliance Industries Limited,Data Analyst Intern
21,Graduate,Commerce,B.Com,Biotechnology,"Patna, Bihar",Tata Consultancy Services (TCS),Software Development Intern
21,Graduate,Arts,BA,Information Technology,"Thiruvananthapuram, Kerala",HDFC Bank,Marketing Intern
23,Graduate,Science,B.Com,Civil Engineering,"Ahmedabad, Gujarat",HDFC Bank,Customer Service Intern
22,Graduate,Commerce,BBA,Human Resources,"Ahmedabad, Gujarat",HDFC Bank,Customer Service Intern
23,Graduate,Science,Diploma,Finance,"Guwahati, Assam",Alembic Pharmaceuticals,Production Intern
23,Graduate,Science,B.Pharm,Mechanical Engineering,"Lucknow, Uttar Pradesh",Alembic Pharmaceuticals,Production Intern
24,Graduate,Commerce,B.Com,Pharmacy,"Dehradun, Uttarakhand",Tata Consultancy Services (TCS),QA/Testing Intern
23,12th Pass,Vocational,,,"Gurugram, Haryana",Mercedes-Benz India,Embedded Systems Intern
24,Diploma,Science,Diploma,Computer Science,"Kolkata, West Bengal",Tata Consultancy Services (TCS),Cloud Engineering Intern
23,12th Pass,Science,,,"Mumbai, Maharashtra",Tata Consultancy Services (TCS),Software Development Intern
21,Graduate,Science,Diploma,Finance,"Indore, Madhya Pradesh",Alembic Pharmaceuticals,Regulatory Affairs Intern
22,Diploma,Science,Diploma,Civil Engineering,"Indore, Madhya Pradesh",Tata Consultancy Services (TCS),Cloud Engineering Intern
23,Diploma,Science,ITI,Computer Science,"Lucknow, Uttar Pradesh",HDFC Bank,Customer Service Intern
23,Diploma,Science,ITI,Civil Engineering,"Coimbatore, Tamil Nadu",Mahindra & Mahindra,Production Planning Intern
24,Diploma,Science,Diploma,Civil Engineering,"Dehradun, Uttarakhand",Mercedes-Benz India,Embedded Systems Intern
24,12th Pass,Commerce,,,"Coimbatore, Tamil Nadu",Alembic Pharmaceuticals,Regulatory Affairs Intern
21,Diploma,Science,ITI,Electronics & Communication,"Ranchi, Jharkhand",Reliance Industries Limited,Supply Chain Intern
21,Graduate,Commerce,B.Com,Marketing,"Vadodara, Gujarat",Reliance Industries Limited,Safety & EHS Intern
21,Graduate,Science,B.Com,Electrical Engineering,"Kolkata, West Bengal",Max Life Insurance,Digital Marketing Intern
21,Graduate,Science,Diploma,Electrical Engineering,"Vadodara, Gujarat",Max Life Insurance,Sales & Distribution Intern
24,Graduate,Science,B.Tech,Information Technology,"Kolkata, West Bengal",Reliance Industries Limited,Data Analyst Intern
22,Graduate,Science,Diploma,Civil Engineering,"Surat, Gujarat",HDFC Bank,Customer Service Intern
23,12th Pass,Vocational,,,"Gurugram, Haryana",Mercedes-Benz India,Embedded Systems Intern
21,Diploma,Science,ITI,Civil Engineering,"Gurugram, Haryana",Max Life Insurance,Data Analytics Intern
21,Graduate,,B.Sc.,Computer Science,"Lucknow, Uttar Pradesh",Mercedes-Benz India,Embedded Systems Intern
22,Graduate,Science,B.Pharm,Mechanical Engineering,"Guwahati, Assam",Max Life Insurance,Digital Marketing Intern
23,Graduate,Commerce,BBA,Mathematics,"Dehradun, Uttarakhand",Max Life Insurance,Digital Marketing Intern
23,Diploma,Science,Diploma,Computer Science,"Bhubaneswar, Odisha",Alembic Pharmaceuticals,R&D Intern
24,Graduate,Science,B.Tech,Computer Science,"Surat, Gujarat",Mercedes-Benz India,Mechanical Engineering Intern
24,Graduate,Science,B.Tech,Marketing,"Bhubaneswar, Odisha",HDFC Bank,Finance Operations Intern
23,12th Pass,Arts,,,"Noida, Uttar Pradesh",HDFC Bank,Finance Operations Intern
24,Graduate,Commerce,B.Com,Information Technology,"Indore, Madhya Pradesh",Mahindra & Mahindra,IoT/Telematics Intern
22,12th Pass,Commerce,,,"Lucknow, Uttar Pradesh",Mahindra & Mahindra,Supply Chain Intern
21,12th Pass,Commerce,,,"Dehradun, Uttarakhand",Max Life Insurance,Actuarial Analyst Intern
21,12th Pass,Arts,,,"Noida, Uttar Pradesh",Tata Consultancy Services (TCS),Cloud Engineering Intern
22,12th Pass,Arts,,,"Delhi, Delhi",Alembic Pharmaceuticals,Production Intern
21,Graduate,Science,Diploma,Electrical Engineering,"Vadodara, Gujarat",Max Life Insurance,Sales & Distribution Intern
21,Diploma,Science,ITI,Computer Science,"Chandigarh, Chandigarh",Max Life Insurance,Data Analytics Intern
24,Graduate,Science,Diploma,Civil Engineering,"Delhi, Delhi",Reliance Industries Limited,Data Analyst Intern
23,12th Pass,Vocational,,,"Lucknow, Uttar Pradesh",Reliance Industries Limited,Supply Chain Intern
23,12th Pass,Arts,,,"Bhubaneswar, Odisha",Max Life Insurance,Actuarial Analyst Intern
24,Diploma,Science,Diploma,Electronics & Communication,"Bhubaneswar, Odisha",Alembic Pharmaceuticals,Production Intern
